Anos_de_Atraso;CO_PESSOA_FISICA;NU_ANO;Raça/Cor;etapa;idade_calculada;Sexo;Zona Residencial;Evasao;rep;prom;Probabilidade de Evasão;Probabilidade de Repetência;Probabilidade de Promoção
1.0;121340347775;2005;Preta;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
1.0;117953400889;2004;Parda;7.0;13;Masculino;Urbana;1;0;0;7.0;4.0;89.0
0.0;116649263809;2005;Preta;7.0;12;Feminino;Urbana;0;0;1;7.0;1.0;91.0
0.0;150025080813;2006;Não Declarada;6.0;11;Feminino;Urbana;1;0;0;10.0;1.0;88.0
0.0;150032352670;2006;Não Declarada;6.0;11;Masculino;Urbana;1;0;0;11.0;2.0;88.0
1.0;120233266134;2005;Parda;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
1.0;121209296615;2005;Não Declarada;6.0;12;Feminino;Urbana;1;0;0;10.0;4.0;86.0
1.0;122061945030;2005;Parda;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
1.0;123684031320;2005;Parda;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
0.0;123113689405;2006;Branco;6.0;11;Masculino;Urbana;0;0;1;11.0;1.0;88.0
0.0;122453400354;2006;Parda;6.0;11;Masculino;Urbana;0;0;1;11.0;2.0;88.0
1.0;124324640792;2005;Parda;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
0.0;123583153978;2006;Branco;6.0;11;Feminino;Urbana;1;0;0;10.0;1.0;88.0
1.0;119308459528;2005;Não Declarada;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
1.0;121382189612;2005;Branco;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
0.0;123799204600;2006;Branco;6.0;11;Feminino;Urbana;0;0;1;10.0;1.0;88.0
0.0;123155893124;2006;Branco;6.0;11;Feminino;Urbana;1;0;0;10.0;1.0;88.0
1.0;121669164143;2005;Preta;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
1.0;116605414925;2005;Branco;6.0;12;Masculino;Urbana;0;0;1;10.0;4.0;86.0
1.0;121738385395;2005;Branco;6.0;12;Feminino;Urbana;0;0;1;10.0;3.0;87.0
1.0;121776291440;2005;Parda;6.0;12;Feminino;Urbana;0;0;1;10.0;4.0;86.0
0.0;121562580581;2006;Não Declarada;6.0;11;Masculino;Urbana;0;0;1;11.0;2.0;88.0
0.0;120764347550;2006;Branco;6.0;11;Masculino;Urbana;0;0;1;11.0;1.0;88.0
1.0;121340358629;2005;Parda;6.0;12;Feminino;Urbana;0;0;1;10.0;4.0;86.0
1.0;121330193910;2005;Branco;6.0;12;Masculino;Urbana;1;0;0;10.0;4.0;86.0
1.0;121349657700;2005;Não Declarada;6.0;12;Masculino;Urbana;1;0;0;10.0;4.0;86.0
1.0;121148691056;2005;Branco;6.0;12;Feminino;Urbana;0;0;1;10.0;3.0;87.0
0.0;121203361563;2006;Preta;6.0;11;Masculino;Urbana;0;0;1;11.0;2.0;88.0
0.0;120784507901;2006;Não Declarada;6.0;11;Masculino;Urbana;1;0;0;11.0;2.0;88.0
